WormBase Sequence Name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene stable ID
Y110A7A.10	I	5107833	5110183	1	WBGene00000001
F27C8.1	IV	9598986	9601695	-1	WBGene00000002
F07C3.7	V	9244402	9246360	-1	WBGene00000003
F52H2.2	X	2552436	2557726	1	WBGene00000004
M79.1	X	10605832	10624185	-1	WBGene00000018
F12B6.1	I	2255923	2272866	-1	WBGene00000020
Y39D8C.1	V	323774	330725	-1	WBGene00000022
Y53C10A.9	I	12011195	12018668	1	WBGene00000023
W09B12.1	X	16367229	16373789	1	WBGene00000035
Y44E3A.2	I	3302001	3307587	-1	WBGene00000036
Y48B6A.8	II	14205633	14210214	1	WBGene00000037
C42D8.5	X	5092458	5097067	-1	WBGene00000039
ZC504.2	X	10412725	10416630	1	WBGene00000047
D2092.3	I	6621687	6624894	-1	WBGene00000050
F25G6.4	V	8552695	8555388	1	WBGene00000054
F25G6.3	V	8561216	8564345	1	WBGene00000055
T04C12.6	V	11079167	11082497	1	WBGene00000063
T04C12.5	V	11076723	11078168	-1	WBGene00000064
T04C12.4	V	11071690	11074498	-1	WBGene00000065
M03F4.2	X	4960553	4964416	1	WBGene00000066
F17C8.1	III	4722126	4730919	1	WBGene00000068
T01C2.1	V	5624727	5630892	-1	WBGene00000071
F39C12.2	X	4854069	4860036	-1	WBGene00000072
C04A11.4	X	13687973	13695771	1	WBGene00000074
ZK154.7	X	7795046	7798287	-1	WBGene00000075
H15N14.1	I	7773180	7777652	1	WBGene00000079
Y50D7A.7	III	295651	298556	-1	WBGene00000081
C02B4.1	X	12678832	12689279	1	WBGene00000082
C02H7.3	X	751211	759732	-1	WBGene00000086
F32A7.6	I	14850054	14855827	-1	WBGene00000088
Y87G2A.4	I	13543079	13545188	-1	WBGene00000089
B0334.8	II	11519323	11527062	-1	WBGene00000090
F32A6.4	X	5289728	5303512	-1	WBGene00000092
C25A1.11	I	10193925	10197000	-1	WBGene00000095
C41G7.5	I	9522578	9531130	1	WBGene00000096
F58E10.4	V	14012333	14013644	1	WBGene00000097
K07C11.2	V	8221410	8223587	1	WBGene00000098
B0207.4	I	5937477	5938885	1	WBGene00000099
C25A11.4	X	9078945	9113613	1	WBGene00000100
D1022.7	II	7472729	7478959	-1	WBGene00000101
C12D8.10	V	10248907	10252895	1	WBGene00000102
F28H6.1	X	14147700	14152070	1	WBGene00000103
F48F7.1	X	13949114	13956261	1	WBGene00000105
T07D3.7	II	873176	879001	1	WBGene00000106
T05H4.13	V	6427212	6429927	-1	WBGene00000110
T08B1.3	V	1996100	1999581	-1	WBGene00000111
