B. malayi Gene stable ID,B. malayi Gene name,B. malayi Transcript stable ID,B. malayi Chromosome/scaffold name,B. malayi Gene start (bp),B. malayi Gene end (bp),C. elegans (PRJNA13758) [WS258] gene stable ID,C. elegans (PRJNA13758) [WS258] gene name,C. elegans (PRJNA13758) [WS258] chromosome/scaffold,C. elegans (PRJNA13758) [WS258] start (bp),C. elegans (PRJNA13758) [WS258] end (bp),Homology type,% identity,O. volvulus (PRJEB513) [WS258] gene stable ID,O. volvulus (PRJEB513) [WS258] gene name,O. volvulus (PRJEB513) [WS258] chromosome/scaffold,O. volvulus (PRJEB513) [WS258] start (bp),O. volvulus (PRJEB513) [WS258] end (bp),Homology type,% identity
WBGene00220276,Bma-dtmk-1,Bm15a,Bm_v4_Chr2_contig_001,1248881,1249932,WBGene00011272,dtmk-1,II,9962966,9967132,ortholog_one2one,38.4977,WBGene00247698,OVOC10889,OVOC_OM4,10443204,10446398,ortholog_one2one,84.507
WBGene00220276,Bma-dtmk-1,Bm15b,Bm_v4_Chr2_contig_001,1248881,1249932,WBGene00011272,dtmk-1,II,9962966,9967132,ortholog_one2one,38.4977,WBGene00247698,OVOC10889,OVOC_OM4,10443204,10446398,ortholog_one2one,84.507
WBGene00220276,Bma-dtmk-1,Bm15c,Bm_v4_Chr2_contig_001,1248881,1249932,WBGene00011272,dtmk-1,II,9962966,9967132,ortholog_one2one,38.4977,WBGene00247698,OVOC10889,OVOC_OM4,10443204,10446398,ortholog_one2one,84.507
WBGene00220306,Bm45,Bm45,Bm_v4_Chr4_scaffold_001,2055282,2059979,WBGene00016319,C32D5.12,II,6356416,6359005,ortholog_one2one,30.4582,WBGene00243058,OVOC6249,OVOC_OM2,16548763,16555403,ortholog_one2one,77.8976
WBGene00220320,Bm59,Bm59,Bm_v4_Chr3_scaffold_001,2148670,2156235,WBGene00010724,K09E9.1,X,15620489,15626629,ortholog_many2many,18.4411,WBGene00248772,OVOC11963,OVOC_OM1a,2780707,2787625,ortholog_one2one,83.6502
WBGene00220320,Bm59,Bm59,Bm_v4_Chr3_scaffold_001,2148670,2156235,WBGene00020340,T08B1.1,V,1982631,1987045,ortholog_many2many,22.8137,WBGene00248772,OVOC11963,OVOC_OM1a,2780707,2787625,ortholog_one2one,83.6502
WBGene00220390,Bm129,Bm129,Bm_v4_ChrX_scaffold_001,13601527,13618270,WBGene00007778,C27D8.2,IV,12712765,12714771,ortholog_one2one,10.8824,WBGene00240452,OVOC3643,OVOC_OM1b,27162012,27164072,ortholog_one2one,13.3824
WBGene00220396,Bm135,Bm135,Bm_v4_Chr1_scaffold_001,1783652,1787216,WBGene00022129,lron-11,I,2735345,2742508,ortholog_one2many,22.8938,WBGene00246063,OVOC9254,OVOC_OM3,13229757,13233354,ortholog_one2one,67.3993
WBGene00220504,Bm243,Bm243,Bm_v4_ChrX_scaffold_001,22330448,22335638,WBGene00006672,twk-18,X,8988137,8991972,ortholog_one2one,38.3795,WBGene00238806,Ovo-twk-18,OVOC_OM1b,14876799,14885736,ortholog_one2one,67.1642
WBGene00220515,Bm254,Bm254,Bm_v4_Chr3_scaffold_001,4136735,4142403,WBGene00015633,C09D4.2,I,5491424,5493263,ortholog_one2one,21.9178,WBGene00236950,OVOC141,OVOC_OM1b,1124660,1130594,ortholog_one2one,78.4247
WBGene00220525,Bm264,Bm264,Bm_v4_Chr2_contig_001,9186637,9189605,WBGene00018959,F56D1.1,II,5478578,5480490,ortholog_one2one,21.3777,WBGene00247327,OVOC10518,OVOC_OM4,7758635,7762175,ortholog_one2one,67.2209
WBGene00220531,Bm270,Bm270,Bm_013,56174,57811,WBGene00019402,K04G7.11,III,7161157,7162115,ortholog_one2many,43.5714,WBGene00239579,OVOC2770,OVOC_OM1b,20408032,20410519,ortholog_one2many,77.8571
WBGene00220552,Bma-hus-1,Bm291,Bm_v4_Chr1_scaffold_001,14001183,14005845,WBGene00002042,hus-1,I,3698102,3699300,ortholog_one2one,12.9032,WBGene00255476,OVOC13461,OVOC_OM3,311785,314852,ortholog_one2one,44.3548
WBGene00220557,Bm296,Bm296,Bm_v4_Chr1_scaffold_001,5330048,5336693,WBGene00013422,Y66A7A.2,III,11485474,11487345,ortholog_one2one,29.8013,WBGene00245848,OVOC9039,OVOC_OM3,11250599,11251729,ortholog_one2one,82.1192
WBGene00220608,Bm347,Bm347,Bm_v4_ChrX_scaffold_001,23191523,23194720,WBGene00001338,ears-2,IV,388686,390468,ortholog_one2one,42.607,WBGene00239133,Ovo-ears-2,OVOC_OM1b,17599720,17607951,ortholog_one2one,83.2685
WBGene00220609,Bm348,Bm348a,Bm_v4_ChrX_scaffold_001,23166797,23169976,WBGene00007697,C24F3.2,IV,10222472,10223745,ortholog_one2one,25.7764,WBGene00239129,OVOC2320,OVOC_OM1b,17581957,17585640,ortholog_one2one,68.0124
WBGene00220609,Bm348,Bm348b,Bm_v4_ChrX_scaffold_001,23166797,23169976,WBGene00007697,C24F3.2,IV,10222472,10223745,ortholog_one2one,25.7764,WBGene00239129,OVOC2320,OVOC_OM1b,17581957,17585640,ortholog_one2one,68.0124
WBGene00220624,Bm363,Bm363,Bm_v4_ChrX_scaffold_001,10344263,10345340,WBGene00011508,T05H10.3,II,8049049,8050564,ortholog_one2many,35.625,WBGene00240832,OVOC4023,OVOC_OM2,1707815,1709132,ortholog_one2many,75
WBGene00220624,Bm363,Bm363,Bm_v4_ChrX_scaffold_001,10344263,10345340,WBGene00011508,T05H10.3,II,8049049,8050564,ortholog_one2many,35.625,WBGene00240907,OVOC4098,OVOC_OM2,2251833,2253147,ortholog_one2many,75
WBGene00220666,Bm405,Bm405,Bm_v4_ChrX_scaffold_001,24594902,24602357,WBGene00003797,npp-11,I,3817996,3821505,ortholog_one2one,17.5573,WBGene00238898,OVOC2089,OVOC_OM1b,15759648,15768559,ortholog_one2one,37.659
WBGene00220679,Bma-sir-2.1,Bm418,Bm_v4_ChrX_scaffold_001,6698060,6702923,WBGene00004800,sir-2.1,IV,10363318,10366249,ortholog_one2one,35.7877,WBGene00241501,Ovo-sir-2.1,OVOC_OM2,6267152,6275250,ortholog_one2one,86.1301
WBGene00220706,Bma-lgg-1,Bm445a,Bm_v4_Chr2_contig_001,10102254,10103581,WBGene00002980,lgg-1,II,6346960,6347719,ortholog_one2one,88.983,WBGene00246660,Ovo-lgg-1,OVOC_OM4,1345071,1347643,ortholog_one2one,98.3051
WBGene00220706,Bma-lgg-1,Bm445b,Bm_v4_Chr2_contig_001,10102254,10103581,WBGene00002980,lgg-1,II,6346960,6347719,ortholog_one2one,88.983,WBGene00246660,Ovo-lgg-1,OVOC_OM4,1345071,1347643,ortholog_one2one,98.3051
WBGene00220750,Bm489,Bm489,Bm_v4_Chr4_scaffold_001,5561406,5562701,WBGene00010947,M176.11,II,9422269,9423296,ortholog_one2one,12.8319,WBGene00243429,OVOC6620,OVOC_OM2,19075991,19080820,ortholog_one2one,68.5841
WBGene00220757,Bm496,Bm496,Bm_v4_ChrX_scaffold_001,22678597,22680350,WBGene00020181,T02H6.11,II,700482,701125,ortholog_one2one,52.6316,WBGene00238678,OVOC1869,OVOC_OM1b,13624248,13625957,ortholog_one2one,88.8158
WBGene00220770,Bm509,Bm509,Bm_v4_Chr4_scaffold_001,389215,391086,WBGene00007740,C26C6.6,I,7505951,7506693,ortholog_one2many,25.5814,WBGene00243368,OVOC6559,OVOC_OM2,18651768,18653129,ortholog_one2one,72.8682
WBGene00220783,Bma-unc-39,Bm522,Bm_v4_Chr4_scaffold_001,1949660,1952051,WBGene00006775,unc-39,V,14373389,14375799,ortholog_one2one,42.7885,WBGene00242653,Ovo-unc-39,OVOC_OM2,13633269,13636536,ortholog_one2one,92.3077
WBGene00220817,Bm556,Bm556,Bm_v4_Chr2_contig_001,3008653,3015169,WBGene00022296,xpc-1,IV,1993089,2008993,ortholog_one2many,27.5064,WBGene00248013,OVOC11204,OVOC_OM4,12720794,12727395,ortholog_one2one,71.5938
WBGene00220829,Bma-dnj-4,Bm568,Bm_v4_Chr2_contig_001,6195747,6197109,WBGene00001022,dnj-4,I,5282085,5283944,ortholog_one2one,26.087,WBGene00249394,OVOC12585,OVOC_OO_000061,11459,12870,ortholog_one2one,63.9752
WBGene00220836,Bm575,Bm575,Bm_v4_Chr2_contig_001,6556989,6558487,WBGene00021829,mrpl-17,I,3162803,3163649,ortholog_one2one,41.6244,WBGene00247111,Ovo-mrpl-17,OVOC_OM4,5837246,5840375,ortholog_one2one,79.6954
WBGene00220860,Bm599,Bm599,Bm_v4_Chr4_scaffold_001,9660641,9665825,WBGene00007204,best-2,IV,13111520,13113082,ortholog_many2many,31.5447,WBGene00249062,OVOC12253,OVOC_OO_000004,12900,30790,ortholog_one2many,78.0488
WBGene00220860,Bm599,Bm599,Bm_v4_Chr4_scaffold_001,9660641,9665825,WBGene00022797,best-24,III,7901033,7904473,ortholog_many2many,42.439,WBGene00249062,OVOC12253,OVOC_OO_000004,12900,30790,ortholog_one2many,78.0488
WBGene00220860,Bm599,Bm599,Bm_v4_Chr4_scaffold_001,9660641,9665825,WBGene00011868,best-18,III,10212396,10214825,ortholog_many2many,32.1951,WBGene00249062,OVOC12253,OVOC_OO_000004,12900,30790,ortholog_one2many,78.0488
WBGene00220860,Bm599,Bm599,Bm_v4_Chr4_scaffold_001,9660641,9665825,WBGene00007203,best-1,IV,13108141,13109799,ortholog_many2many,32.5203,WBGene00249062,OVOC12253,OVOC_OO_000004,12900,30790,ortholog_one2many,78.0488
