WormBase Sequence Name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene stable ID
OVOC1	OVOC_OM1b	1431	6487	-1	WBGene00236810
OVOC2	OVOC_OM1b	11189	17386	1	WBGene00236811
OVOC3	OVOC_OM1b	18114	19434	1	WBGene00236812
OVOC7	OVOC_OM1b	59056	67892	-1	WBGene00236816
OVOC8	OVOC_OM1b	69809	74209	1	WBGene00236817
OVOC10	OVOC_OM1b	86643	92899	1	WBGene00236819
OVOC13	OVOC_OM1b	109678	114970	-1	WBGene00236822
OVOC15	OVOC_OM1b	129927	133731	-1	WBGene00236824
OVOC17	OVOC_OM1b	144046	159312	-1	WBGene00236826
OVOC19	OVOC_OM1b	172385	179366	1	WBGene00236828
OVOC21	OVOC_OM1b	188661	193477	1	WBGene00236830
OVOC23	OVOC_OM1b	203903	216853	1	WBGene00236832
OVOC24	OVOC_OM1b	217608	235158	-1	WBGene00236833
OVOC25	OVOC_OM1b	238211	245963	-1	WBGene00236834
OVOC28	OVOC_OM1b	255523	262495	-1	WBGene00236837
OVOC33	OVOC_OM1b	276169	281214	-1	WBGene00236842
OVOC34	OVOC_OM1b	283007	289323	1	WBGene00236843
OVOC35	OVOC_OM1b	290173	297582	-1	WBGene00236844
OVOC36	OVOC_OM1b	298368	300078	1	WBGene00236845
OVOC37	OVOC_OM1b	298285	304673	-1	WBGene00236846
OVOC40	OVOC_OM1b	324129	331184	1	WBGene00236849
OVOC41	OVOC_OM1b	334183	346106	-1	WBGene00236850
OVOC44	OVOC_OM1b	368857	391508	1	WBGene00236853
OVOC48	OVOC_OM1b	402874	417990	-1	WBGene00236857
OVOC50	OVOC_OM1b	422332	423197	-1	WBGene00236859
OVOC51	OVOC_OM1b	423915	424288	1	WBGene00236860
OVOC53	OVOC_OM1b	426107	432033	-1	WBGene00236862
OVOC56	OVOC_OM1b	437750	440644	1	WBGene00236865
OVOC57	OVOC_OM1b	444631	458256	-1	WBGene00236866
OVOC62	OVOC_OM1b	473334	484827	1	WBGene00236871
OVOC64	OVOC_OM1b	492591	497530	1	WBGene00236873
OVOC65	OVOC_OM1b	500006	502280	1	WBGene00236874
OVOC67	OVOC_OM1b	503985	505676	-1	WBGene00236876
OVOC68	OVOC_OM1b	513355	516657	1	WBGene00236877
OVOC69	OVOC_OM1b	521341	528493	-1	WBGene00236878
OVOC71	OVOC_OM1b	554888	564512	-1	WBGene00236880
OVOC72	OVOC_OM1b	576349	580864	1	WBGene00236881
OVOC73	OVOC_OM1b	583891	588664	1	WBGene00236882
OVOC75	OVOC_OM1b	593208	614304	-1	WBGene00236884
OVOC79	OVOC_OM1b	623386	628207	1	WBGene00236888
OVOC80	OVOC_OM1b	629032	633281	-1	WBGene00236889
OVOC82	OVOC_OM1b	637149	644307	1	WBGene00236891
OVOC83	OVOC_OM1b	647121	664054	1	WBGene00236892
OVOC84	OVOC_OM1b	665127	674878	1	WBGene00236893
OVOC87	OVOC_OM1b	743502	758961	1	WBGene00236896
OVOC89	OVOC_OM1b	764537	770538	1	WBGene00236898
